Date,Open,High,Low,Close,Adj Close,Volume
1982-08-04,8.319322,8.397511,8.241133,8.256771,2.771831,2251752
1982-08-05,8.194219,8.241133,8.147306,8.209857,2.756082,1447612
1982-08-06,8.147306,8.256771,8.037841,8.053479,2.703586,2723365
1982-08-09,7.975290,8.084754,7.865825,8.053479,2.703586,2290121
1982-08-10,8.084754,8.162944,8.006565,8.022203,2.693084,6023057
1982-08-11,7.975290,8.037841,7.897101,7.897101,2.651088,2473970
1982-08-12,7.959652,8.037841,7.865825,7.881463,2.645838,1817708
1982-08-13,7.975290,8.053479,7.897101,8.006565,2.687836,1100697
1982-08-16,8.084754,8.162944,8.006565,8.006565,2.687836,2379647
1982-08-17,8.319322,8.553889,8.069117,8.553889,2.871574,4823242
1982-08-18,8.553889,8.663354,8.444424,8.506976,2.855825,5588214
1982-08-19,8.569527,8.647716,8.475700,8.553889,2.871574,4942344
1982-08-20,8.663354,8.772819,8.538251,8.757181,2.939820,3400409
1982-08-23,8.819732,8.944835,8.678992,8.897921,2.987068,5187743
1982-08-24,8.835370,8.944835,8.710267,8.835370,2.966068,6004672
1982-08-25,8.944835,9.038662,8.851008,8.913559,2.992315,4848821
1982-08-26,9.163764,9.257591,9.054300,9.132489,3.065814,8675280
1982-08-27,9.038662,9.116851,8.960473,9.069937,3.044814,2625845
1982-08-30,9.069937,9.195040,8.929197,9.195040,3.086811,3398811
1982-08-31,9.304505,9.492159,9.101213,9.413969,3.160307,5401167
1982-09-01,9.351418,9.445245,9.241953,9.273229,3.113059,5740889
1982-09-02,9.398332,9.554710,9.241953,9.523434,3.197055,4393994
1982-09-03,9.773639,9.930018,9.601623,9.773639,3.281049,4513896
1982-09-07,9.632899,9.695450,9.570348,9.617261,3.228551,3601045
1982-09-08,9.585986,9.711088,9.445245,9.476521,3.181305,3747325
1982-09-09,9.413969,9.476521,9.335780,9.351418,3.139307,2832875
1982-09-10,9.273229,9.335780,9.195040,9.320143,3.128809,2833674
1982-09-13,9.413969,9.570348,9.257591,9.539072,3.202302,2137446
1982-09-14,9.601623,9.664175,9.523434,9.585986,3.218053,2752141
1982-09-15,9.585986,9.632899,9.523434,9.570348,3.212803,2277331
1982-09-16,9.585986,9.664175,9.507796,9.523434,3.197055,2788112
1982-09-17,9.507796,9.539072,9.460883,9.476521,3.181305,1288543
1982-09-20,9.445245,9.507796,9.382694,9.445245,3.170805,2441197
1982-09-21,9.570348,9.664175,9.476521,9.664175,3.244302,1988768
1982-09-22,9.773639,9.883104,9.664175,9.664175,3.244302,5502684
1982-09-23,9.585986,9.711088,9.460883,9.632899,3.233800,2403627
1982-09-24,9.507796,9.570348,9.445245,9.492159,3.186556,2004755
1982-09-27,9.570348,9.664175,9.476521,9.648537,3.239051,1457204
1982-09-28,9.554710,9.585986,9.507796,9.507796,3.227373,1959192
1982-09-29,9.429607,9.507796,9.351418,9.398332,3.190217,2545111
1982-09-30,9.367056,9.413969,9.304505,9.351418,3.174292,2955175
1982-10-01,9.507796,9.664175,9.335780,9.601623,3.259222,2875240
1982-10-04,9.476521,9.523434,9.413969,9.507796,3.227373,2547509
